,Waktu_UTC,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,Beban_Puncak_Aktual,price day ahead,price actual,temp,humidity,rain_1h,clouds_all,pressure,Suhu_Kategori,Beban_Filtered_Capped
0,2014-12-31 23:00:00+00:00,447.0,329.0,0.0,4844.0,4821.0,162.0,0.0,0.0,0.0,,863.0,1051.0,1899.0,0.0,7096.0,43.0,73.0,49.0,196.0,0.0,17.0,,6436.0,26118.0,25385.0,50.1,65.41,272.4914625,82.4,0.0,0.0,1016.4,Dingin,25385.0
1,2015-01-01 00:00:00+00:00,449.0,328.0,0.0,5196.0,4755.0,158.0,0.0,0.0,0.0,,920.0,1009.0,1658.0,0.0,7096.0,43.0,71.0,50.0,195.0,0.0,16.0,,5856.0,24934.0,24382.0,48.1,64.92,272.5127,82.4,0.0,0.0,1016.2,Dingin,24382.0
2,2015-01-01 01:00:00+00:00,448.0,323.0,0.0,4857.0,4581.0,157.0,0.0,0.0,0.0,,1164.0,973.0,1371.0,0.0,7099.0,43.0,73.0,50.0,196.0,0.0,8.0,,5454.0,23515.0,22734.0,47.33,64.48,272.0991375,82.0,0.0,0.0,1016.8,Dingin,22734.0
3,2015-01-01 02:00:00+00:00,438.0,254.0,0.0,4314.0,4131.0,160.0,0.0,0.0,0.0,,1503.0,949.0,779.0,0.0,7098.0,43.0,75.0,50.0,191.0,0.0,2.0,,5151.0,22642.0,21286.0,42.27,59.32,272.08946875000004,82.0,0.0,0.0,1016.6,Dingin,21286.0
4,2015-01-01 03:00:00+00:00,428.0,187.0,0.0,4130.0,3840.0,156.0,0.0,0.0,0.0,,1826.0,953.0,720.0,0.0,7097.0,43.0,74.0,42.0,189.0,0.0,9.0,,4861.0,21785.0,20264.0,38.41,56.04,272.1459,82.0,0.0,0.0,1016.6,Dingin,20264.0
5,2015-01-01 04:00:00+00:00,410.0,178.0,0.0,4038.0,3590.0,156.0,0.0,0.0,0.0,,2109.0,952.0,743.0,0.0,7098.0,43.0,74.0,34.0,188.0,0.0,4.0,,4617.0,21441.0,19905.0,35.72,53.63,272.024,82.6,0.0,0.0,1017.4,Dingin,19905.0
6,2015-01-01 05:00:00+00:00,401.0,172.0,0.0,4040.0,3368.0,158.0,0.0,0.0,0.0,,2108.0,961.0,848.0,0.0,7098.0,43.0,74.0,34.0,186.0,0.0,3.0,,4276.0,21285.0,20010.0,35.13,51.73,272.0584,82.6,0.0,0.0,1017.4,Dingin,20010.0
7,2015-01-01 06:00:00+00:00,408.0,172.0,0.0,4030.0,3208.0,160.0,0.0,0.0,0.0,,2031.0,983.0,1012.0,0.0,7099.0,43.0,72.0,35.0,189.0,0.0,12.0,,3994.0,21545.0,20377.0,36.22,51.43,272.3466,82.2,0.0,0.0,1017.6,Dingin,20377.0
8,2015-01-01 07:00:00+00:00,413.0,177.0,0.0,4052.0,3335.0,161.0,0.0,0.0,0.0,,2119.0,1001.0,1015.0,0.0,7098.0,43.0,73.0,54.0,198.0,0.0,39.0,,3602.0,21443.0,20094.0,32.4,48.98,273.9936,81.2,0.0,0.0,1018.8,Dingin,20094.0
9,2015-01-01 08:00:00+00:00,419.0,177.0,0.0,4137.0,3437.0,163.0,0.0,0.0,0.0,,2170.0,1041.0,1357.0,0.0,7097.0,43.0,74.0,743.0,198.0,0.0,784.0,,3212.0,21560.0,20637.0,36.6,54.2,274.19719999999995,81.0,0.0,0.0,1018.8,Dingin,20637.0
